uuid,platform,user_agent,date
1de9ea66-70d3-4a1f-8735-df5ef7697fb9,web,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",2023-03-01T13:29:22
f149f542-e935-4870-9734-6b4501eaf614,web,"Mozilla/5.0 (X11; CrOS x86_64 8172.45.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.64 Safari/537.36",2023-03-01T16:44:28
f149f542-e935-4870-9734-6b4501eaf614,web,"Mozilla/5.0 (X11; CrOS x86_64 8172.45.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.64 Safari/537.36",2023-03-06T06:12:36
08f0ebd4-950c-4dd9-8e97-b5bdf073eed1,web,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0,2023-03-01T20:16:37
08f0ebd4-950c-4dd9-8e97-b5bdf073eed1,web,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0,2023-03-05T17:42:47
19322fed-157c-49c6-b16e-2d5cabeb9592,web,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.3",2023-03-01T20:29:03
19322fed-157c-49c6-b16e-2d5cabeb9592,web,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.3",2023-03-03T00:13:55
04762a22-3c9f-40c9-9ac9-6628c4381836,web,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36",2023-03-01T20:11:39
04762a22-3c9f-40c9-9ac9-6628c4381836,web,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36",2023-03-05T15:15:30
04762a22-3c9f-40c9-9ac9-6628c4381836,web,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36",2023-03-01T15:54:52
040e1e30-c9ed-4248-bc97-99a707e36d60,web,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",2023-03-01T14:35:42
040e1e30-c9ed-4248-bc97-99a707e36d60,web,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",2023-03-03T12:30:03
7bf78a4d-9f8f-4ffb-a5f8-0a0a58994953,web,"Mozilla/5.0 (X11; CrOS x86_64 8172.45.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.64 Safari/537.36",2023-03-01T19:37:48
7bf78a4d-9f8f-4ffb-a5f8-0a0a58994953,web,"Mozilla/5.0 (X11; CrOS x86_64 8172.45.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.64 Safari/537.36",2023-03-04T22:56:26
7bf78a4d-9f8f-4ffb-a5f8-0a0a58994953,web,"Mozilla/5.0 (X11; CrOS x86_64 8172.45.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.64 Safari/537.36",2023-03-04T07:49:40
175e9941-2607-4d5f-b6ab-14759da618fd,web,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",2023-03-01T01:14:09
d868c2cf-1d4a-4b12-b6a2-0bb02edf0743,web,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",2023-03-01T15:04:12
d868c2cf-1d4a-4b12-b6a2-0bb02edf0743,web,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",2023-03-04T16:08:48
e1668271-7c9b-4fae-80ca-17b703be0e66,web,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0,2023-03-01T11:05:40
e1668271-7c9b-4fae-80ca-17b703be0e66,web,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0,2023-03-03T03:25:00
aad14268-1087-4756-bff4-bb8cf703c9ff,web,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.6",2023-03-01T20:56:11
aad14268-1087-4756-bff4-bb8cf703c9ff,web,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.6",2023-03-05T11:01:46
118dc10e-7745-40d7-a98d-7c358a84c15c,web,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/119.0,2023-03-01T16:40:43
118dc10e-7745-40d7-a98d-7c358a84c15c,web,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/119.0,2023-03-04T09:55:57
83d9fca7-16c4-4a33-acd5-1e6699f9823c,web,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/119.,2023-03-01T07:13:09
d30aad4b-4503-4e22-8bc4-621b94398520,web,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",2023-03-01T23:43:35
d30aad4b-4503-4e22-8bc4-621b94398520,web,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",2023-03-06T15:45:02
4d6bfd8f-a506-4fc5-9025-dbe58e725d57,web,"Mozilla/5.0 (X11; CrOS x86_64 8172.45.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.64 Safari/537.36",2023-03-01T21:22:03
4d6bfd8f-a506-4fc5-9025-dbe58e725d57,web,"Mozilla/5.0 (X11; CrOS x86_64 8172.45.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.64 Safari/537.36",2023-03-04T22:16:20
44365862-5af0-43e0-99a5-4a0d7b25331f,web,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:15.0) Gecko/20100101 Firefox/15.0.1,2023-03-01T15:17:19
44365862-5af0-43e0-99a5-4a0d7b25331f,web,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:15.0) Gecko/20100101 Firefox/15.0.1,2023-03-01T15:22:33
44365862-5af0-43e0-99a5-4a0d7b25331f,web,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:15.0) Gecko/20100101 Firefox/15.0.1,2023-03-05T11:19:40
33354fc7-eefa-4f23-a7cd-a6c23fc86ee6,web,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246",2023-03-01T08:01:45
33354fc7-eefa-4f23-a7cd-a6c23fc86ee6,web,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246",2023-03-05T11:02:47
aa586951-87b8-4518-a065-e3eb74113cb0,web,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",2023-03-01T22:05:28
